age,income,expenses,savings_ratio,dependents,horizon,existing_investments,crash_behavior,experience,focus,risk_label
60,84871,54457,0.358,0,28,893320,2,2,1,2
50,57174,20949,0.634,2,24,3787152,1,2,0,1
36,255823,214208,0.163,2,28,2570289,1,2,1,1
64,248563,100124,0.597,4,18,3994918,2,2,1,2
29,162653,88629,0.455,4,25,2233355,2,2,1,2
42,135155,76830,0.432,1,4,1565662,1,0,1,1
60,152795,114166,0.253,3,14,2712590,1,1,0,1
40,113668,40303,0.645,0,26,1499163,0,0,1,1
44,238397,127722,0.464,0,8,737667,1,1,1,1
32,170639,110177,0.354,4,24,1327936,0,2,1,2
32,264141,110499,0.582,4,16,3973369,0,0,0,1
45,121019,78070,0.355,1,20,4499435,0,1,0,0
57,53803,43473,0.192,3,15,4826616,2,1,1,1
61,174302,147918,0.151,1,7,3035233,2,0,2,1
45,173934,55284,0.682,3,17,2606894,0,0,1,1
24,255147,109604,0.57,0,22,566608,0,1,0,1
43,55795,26260,0.529,1,22,4467749,0,0,1,1
23,295914,153733,0.48,4,12,2303275,1,1,1,2
45,36093,15636,0.567,1,18,4417714,0,1,1,1
51,298334,122889,0.588,1,15,2223712,2,1,1,2
59,198824,164030,0.175,0,16,1311611,0,0,1,0
23,188399,151696,0.195,4,5,1988052,0,1,1,1
42,65197,21244,0.674,4,2,2409753,0,0,0,0
54,27261,13258,0.514,2,28,637677,2,2,0,2
33,182584,95460,0.477,2,27,2544803,2,0,1,2
43,160450,69227,0.569,2,31,283076,2,2,1,2
46,65583,42358,0.354,0,1,2363488,1,1,2,1
48,185105,120727,0.348,1,29,802560,0,2,1,1
63,136032,104442,0.232,4,1,2119988,0,0,2,0
49,231940,164092,0.293,4,8,4835620,1,0,0,0
37,251727,150637,0.402,1,16,1951489,2,1,2,2
36,98869,65201,0.341,4,28,3188858,1,0,1,1
24,292554,131852,0.549,1,22,4473156,1,2,1,2
58,212116,132822,0.374,0,18,369625,1,1,0,0
28,219387,124847,0.431,0,22,1203880,0,2,0,1
42,227416,84903,0.627,0,12,3334066,1,2,2,2
30,111716,48417,0.567,1,19,272196,1,0,0,2
60,79245,36486,0.54,1,25,1854529,0,1,0,1
39,68056,55014,0.192,3,5,2310979,1,0,0,0
25,275736,117660,0.573,4,34,2656986,2,0,0,2
46,250683,115084,0.541,4,10,4929009,1,0,1,1
35,290972,146401,0.497,3,7,157044,1,2,1,1
30,141656,94209,0.335,3,15,3401356,0,1,1,1
47,42087,15363,0.635,0,24,995563,1,1,1,2
23,161554,133228,0.175,3,26,4127617,2,0,2,2
41,207024,160663,0.224,1,26,3167758,1,1,2,1
49,161535,99742,0.383,2,26,1566509,0,1,1,1
28,268236,179911,0.329,1,10,2006456,2,0,1,1
29,95448,29509,0.691,3,17,2078101,2,0,1,2
56,29648,14421,0.514,4,14,3235559,1,1,1,2
35,60634,44724,0.262,1,2,2075598,1,1,2,1
38,47054,16121,0.657,4,13,2377351,0,0,1,1
57,95028,43263,0.545,1,27,4686740,2,2,1,2
61,47207,29358,0.378,4,9,4937172,1,0,1,0
25,255893,112855,0.559,1,7,3040149,1,1,2,2
23,106554,86701,0.186,4,10,4793453,0,0,2,1
27,177458,66028,0.628,2,9,4053344,1,0,2,2
63,108276,79969,0.261,0,22,4573274,2,2,1,2
25,208852,121002,0.421,1,23,1396629,2,2,0,2
50,217512,155016,0.287,2,7,256072,0,1,2,0
39,33210,15638,0.529,0,9,4270801,1,2,0,1
